File,Date,Time,Image quality,Location,Session,DateStart,Classifier,CommentsImages,ColourMarkings,EventStart,EventEnd,Duration,Species,JumpoutUse,ParksStaff,DirectionTravel,Total,Horses,DogsOnLeash,DogsOffLeash,AdultFemale,AdultMale,AdultUnknown,Subadult,YLY,YOY,Folder
M0003304.JPG,07-Jul-12,5:29 AM,Ok,Cell 10 NW 2011/12,7,6-Jul-12,NH,,,,,,Moose,None,No,,1,,,,1,,,,,,Cell 10 NW_Session 1_6-Jul-12 to 9-Aug-12
M0000605.JPG,12-Aug-12,8:37 AM,Ok,Cell 10 NW 2011/12,8,9-Aug-12,Code,"Images 0104 to 3503. Extensive rubbing - back, front, hind quarters. Checks out camera.",Too hard to tell with B&W image and mottled lighting.,8:37:24,8:42:06,0:04:42,Grizzly Bear,None,No,,1,,,,,,1,,,,Cell 10 NW_S2_09-Aug-12 to 12-Sep-12
M0004002.JPG,12-Aug-12,9:53 AM,Ok,Cell 10 NW 2011/12,8,9-Aug-12,Code,,,,,,Moose,None,No,Left,1,,,,,,,1,,,Cell 10 NW_S2_09-Aug-12 to 12-Sep-12
M0004301.JPG,21-Aug-12,6:47 AM,Ok,Cell 10 NW 2011/12,8,9-Aug-12,Code,,,,,,Moose,None,No,Left,1,,,,1,,,,,,Cell 10 NW_S2_09-Aug-12 to 12-Sep-12
M0004401.JPG,27-Aug-12,10:04 PM,Ok,Cell 10 NW 2011/12,8,9-Aug-12,Code,,,,,,Moose,None,No,Right,1,,,,1,,,,,,Cell 10 NW_S2_09-Aug-12 to 12-Sep-12
M0004502.JPG,06-Sep-12,3:26 AM,Ok,Cell 10 NW 2011/12,8,9-Aug-12,Code,,,,,,Moose,None,No,Right,1,,,,,,1,,,,Cell 10 NW_S2_09-Aug-12 to 12-Sep-12
M0004705.JPG,12-Sep-12,4:09 PM,Ok,Cell 10 NW 2011/12,8,9-Aug-12,Code,,,,,,Hiker,None,Yes,,1,,,,,,,,,,Cell 10 NW_S2_09-Aug-12 to 12-Sep-12
M0000303.JPG,12-Sep-12,6:18 PM,Ok,Cell 10 NW 2011/12,9,12-Sep-12,Code,,,,,,Moose,None,No,Right,1,,,,,1,,,,,Cell 10 NW_S3_12-Sep-12 to 11-Oct-12
M0000805.JPG,20-Sep-12,5:50 PM,Ok,Cell 10 NW 2011/12,9,12-Sep-12,Code,,,,,,Moose,None,No,Away,1,,,,1,,,,,,Cell 10 NW_S3_12-Sep-12 to 11-Oct-12
M0001402.JPG,24-Sep-12,1:38 AM,Ok,Cell 10 NW 2011/12,9,12-Sep-12,Code,,,,,,Moose,None,No,Away,1,,,,1,,,,,,Cell 10 NW_S3_12-Sep-12 to 11-Oct-12
M0001702.JPG,29-Sep-12,7:30 PM,Ok,Cell 10 NW 2011/12,9,12-Sep-12,Code,,,,,,Moose,None,No,Left,1,,,,,1,,,,,Cell 10 NW_S3_12-Sep-12 to 11-Oct-12
M0002002.JPG,11-Oct-12,1:33 PM,Ok,Cell 10 NW 2011/12,9,12-Sep-12,Code,,,,,,Hiker,None,Yes,,1,,,,,,,,,,Cell 10 NW_S3_12-Sep-12 to 11-Oct-12
M0000201.JPG,12-Nov-12,12:41 PM,Ok,Cell 10 NW 2011/12,10,11-Oct-12,Code,,,,,,Hiker,None,Yes,,1,,,,,,,,,,Cell 10 NW_S4_11-Oct-12 to 12-Nov-12
M0000402.JPG,11-Dec-12,2:52 PM,Ok,Cell 10 NW 2011/12,11,12-Nov-12,Code,,,,,,Moose,None,No,Left,1,,,,,,1,,,,Cell 10 NW_S5_12-Nov-12 to 14-Dec-12
M0000602.JPG,14-Dec-12,4:48 PM,Ok,Cell 10 NW 2011/12,11,12-Nov-12,Code,,,,,,Hiker,None,Yes,,1,,,,,,,,,,Cell 10 NW_S5_12-Nov-12 to 14-Dec-12
M0003801.JPG,26-Jul-12,9:48 AM,Ok,Cell 10 SW 2011/12,7,7-Jun-12,NH,,"no distinct markings, no collar",26/07/2012 10:48,26/07/2012 10:52,4min,Grizzly Bear,None,No,,1,,,,,,,,,,Cell 10 SW_Session 1_5-Jul-12 to 7-Aug-12
M0000103.JPG,05-Jul-12,11:48 PM,Ok,Cell 10 SW 2011/12,7,7-Jun-12,NH,,,,,,Marten,None,No,,1,,,,,,,,,,Cell 10 SW_Session 1_5-Jul-12 to 7-Aug-12
M0001701.JPG,12-Jul-12,7:31 AM,Ok,Cell 10 SW 2011/12,7,7-Jun-12,NH,,,,,,Moose,None,No,,1,,,,,,,,,,Cell 10 SW_Session 1_5-Jul-12 to 7-Aug-12
M0003004.JPG,14-Jul-12,4:59 AM,Ok,Cell 10 SW 2011/12,7,7-Jun-12,NH,need to confirm classification ,,,,,Porcupine,None,No,,1,,,,,,,,,,Cell 10 SW_Session 1_5-Jul-12 to 7-Aug-12
M0001701.JPG,12-Jul-12,7:31 AM,Ok,Cell 10 SW 2011/12,7,6-Jul-12,NH,,,,,,Moose,None,No,,1,,,,,,,,,,Cell 10 SW_Session 1_5-Jul-12 to 7-Aug-12
M0003004.JPG,14-Jul-12,4:59 AM,Ok,Cell 10 SW 2011/12,7,6-Jul-12,NH,need to confirm classification ,,,,,Porcupine,None,No,,1,,,,,,,,,,Cell 10 SW_Session 1_5-Jul-12 to 7-Aug-12
M0000301.JPG,04-Sep-12,2:09 PM,Ok,Cell 10 SW 2011/12,8,8-Aug-12,Code,,,,,,Marten,None,No,,1,,,,,,1,,,,Cell 10 SW_S2_08-Aug-12 to 14-Sep-12
M0000603.JPG,14-Sep-12,1:07 PM,Ok,Cell 10 SW 2011/12,8,8-Aug-12,Code,,,,,,Hiker,None,Yes,,1,,,,,,,,,,Cell 10 SW_S2_08-Aug-12 to 14-Sep-12
M0000305.JPG,15-Sep-12,5:44 PM,Ok,Cell 10 SW 2011/12,9,14-Sep-12,Code,,,,,,Marten,None,No,,1,,,,,,1,,,,Cell 10 SW_S3_14-Sep-12 to 12-Oct-12_Done
M0000701.JPG,17-Sep-12,7:11 AM,Ok,Cell 10 SW 2011/12,9,14-Sep-12,Code,,,,,,Flying Squirrel,None,No,,1,,,,,,1,,,,Cell 10 SW_S3_14-Sep-12 to 12-Oct-12_Done
M0001704.JPG,21-Sep-12,12:51 PM,Ok,Cell 10 SW 2011/12,9,14-Sep-12,Code,"Images 1101 to 3904. Extensive rubbing, back, throat, neck. Large.","B&W image. Uniform colour, probably brown or cinnamon.",12:51:02,12:54:33,0:03:31,Grizzly Bear,None,No,,1,,,,,1,,,,,Cell 10 SW_S3_14-Sep-12 to 12-Oct-12
M0002101.JPG,12-Feb-12,2:09 PM,Ok,Cell 10-A 2011/12,2,1/29/2012,NH,,,,,,Lynx,None,No,,1,,,,,,,,,,Cell 10A_Session 2_29-Jan-12 to 17-Feb-12
M0000904.JPG,06-Feb-12,4:50 AM,Ok,Cell 10-A 2011/12,2,1/29/2012,NH,"only detection, high lynx presence",,,,,Marten,None,No,,1,,,,,,,,,,Cell 10A_Session 2_29-Jan-12 to 17-Feb-12
T0000601.JPG,30-Jan-12,12:58 PM,Ok,Cell 10-A 2011/12,2,1/29/2012,NH,Gray Jay,,,,,Other,None,No,,1,,,,,,,,,,Cell 10A_Session 2_29-Jan-12 to 17-Feb-12
