Dataset,Study Region,Project,Camera_Site,Othername,Easting,Northing
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 60 2013,,671854,5565034
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 31 2013,,672638,5625158
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 57 2013,,672714,5574181
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 7 2013,,672928,5654589
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 15 2013,,674560,5642460
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 45 2013,,674563,5602306
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 15-A 2013,,676752,5641673
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 38 2013,,677141,5612280
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 54 2013,,679056,5582939
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 32 2013,,680778,5621499
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 24 2013,,681312,5637352
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 58 2013,,681586,5579230
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 16 2013,,681636,5640470
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 51 2013,,684112,5595787
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 39 2013,,684418,5610733
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 61 2013,,684569,5565701
13/14,East Slopes,Kananaskis Wildlife Monitoring,Cell 55 2013,,685361,5583658
11/12,,,1,,623435,5653234
11/12,,,2,,634268,5647155
11/12,,,3,,643348,5650536
11/12,,,4,,649200,5650202
11/12,,,5,,613207,5635047
11/12,,,5NE,,618195,5642751
11/12,,,5NW,,616082,5641079
11/12,,,5SE,,622736,5638254
11/12,,,6,,632350,5638385
11/12,,,6NE,,632304,5643453
11/12,,,6NW,,627210,5643133
11/12,,,6SW,,627968,5635995
11/12,,,7,,646423,5642531
11/12,,,8,,654932,5641373
11/12,,,9,,665316,5636901
11/12,,,10,,618196,5627432
11/12,,,10NE,,620496,5627994
11/12,,,10NW,,616488,5632446
11/12,,,10SW,,616875,5626058
11/12,,,11,,629295,5627586
11/12,,,11NE,,629331,5632086
11/12,,,11NW,,627900,5630291
11/12,,,11SE,,631019,5624695
