"site","radius","Road_Hard Surface","Road_Vegetated Verge","Seismic line","Cut Blocks","Road_Trail (Vegetated)","Well Site","Reservoirs","Transmission Line","Pipeline","Rural (Residential_Industrial)","Other Disturbed Vegetation","Cultivation (Crop_Pasture/Bare Ground)","Borrow-Pits_Dugouts/Sumps","Canals","Industrial Site Rural","Road – Hard Surface","Road – Vegetated Verge","Rail – Hard Surface","Rail – Vegetated Verge","Mine Site","Rail_Hard Surface","Rail_Vegetated Verge","Urban","High Density Livestock Operation","Municipal (Water and Sewage)","dense_conifer","moderate_conifer","open_conifer","mixed","herb","snow_or_ice","shrub","barren","water","broadleaf","cloud_or_no_data","treed_wetland","agriculture","open_wetland","shadow_or_no_data","unknown","mean_ndvi_2008","mean_ndvi_2012","mean_tri"
"Cell R80",3500,0,0,0.15,0,0,0,16.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.51998996,19.05832983,7.029857361,0.135638988,11.7009827,15.95148439,1.576780234,0,24.99182082,0.035079049,0,0,0,0,0,0,5122.031768,4994.95442,3.736541753
"Cell R80",3750,0.03,0.04,0.14,0,0,0,15.57,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.17632765,19.97484449,7.393464032,0.126305363,11.17022398,15.04155105,1.785039336,0,26.25617102,0.030557749,0.045484527,0,0,0,0,0,5082.771909,4987.483794,3.91233959
"Cell R80",4000,0.07,0.11,0.14,0,0,0,14.97,0,0,0,0.04,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,16.92688476,19.55084019,7.400183587,0.112801066,11.92016179,14.37651452,1.798748419,0,27.75471096,0.026857397,0.132261304,0,0,0,0,0,5087.768743,4988.073918,3.986128692
"Cell R80",4250,0.09,0.13,0.13,0,0,0,14.68,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.2259801,18.65600859,7.128526178,0.104678794,11.78479698,14.11466436,1.883962077,0,29.89234256,0.023790635,0.185221998,0,0,0,0,0,5046.854733,4945.40956,4.01056119
"Cell R80",4500,0.1,0.15,0.13,0,0,0,14.55,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.79394465,18.0492316,7.091299068,0.097138027,11.23806627,13.99787644,1.946699674,0,31.5899951,0.021220659,0.174497774,0,0,0,0,0,5001.77212,4862.642738,4.001110541
"Cell R80",4750,0.11,0.16,0.13,0.05,0,0,14.6,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.16792044,17.7902312,7.3951541,0.08887988,10.54512846,14.24608692,2.02090367,0,32.55140018,0.019045688,0.175220334,0,0,0,0,0,4934.95188,4761.994737,4.008720399
"Cell R80",500,0,0,0,0,0,0,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.4760861,29.25835934,4.672072294,0.110354574,5.587343606,0.173863495,10.37437192,0,8.347303545,0,0,0,0,0,0,0,7303.333333,7138,1.067602566
"Cell R80",5000,0.12,0.17,0.13,0.05,0,0,14.59,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.81829581,17.82264009,7.429982795,0.09060335,9.864165162,14.16936377,2.131733396,0,33.49557183,0.019480565,0.158136351,0,0,0,0,0,4927.170169,4684.734237,4.034107195
"Cell R80",5250,0.14,0.21,0.14,0.04,0.02,0,14.05,0,0,0.07,0.3,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,14.88711012,18.05636454,7.320712301,0.090425992,9.467634705,13.56735213,2.239852876,0,34.17711384,0.017669447,0.175739416,0,0,0,0,0,4945.470697,4673.298581,4.031413842
"Cell R80",5500,0.18,0.26,0.16,0.04,0.02,0,13.19,0,0,0.1,0.33,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,15.31383978,18.251002,7.03228154,0.08439651,9.046967786,12.85512799,2.238280002,0,34.94415773,0.016099641,0.217822911,0,0,0,0,0,4948.253371,4680.039888,3.991322825
