"Site","Easting","Northing","start_date","end_date"
"Cell 41 NW 2013",632113,5607716,2014-02-26,"2014-03-26"
"Cell 41 NW 2013",632113,5607716,2014-03-26,"2014-04-23"
"Cell 41 NW 2013",632113,5607716,2014-04-23,"2014-05-27"
"Cell 44 2013",663131,5610669,2013-04-04,"2013-05-09"
"Cell 44 2013",663131,5610669,2013-05-09,"2013-07-03"
"Cell 44 2013",663131,5610669,2013-07-03,"2013-07-31"
"Cell 44 2013",663131,5610669,2013-07-31,"2013-09-16"
"Cell 44 2013",663131,5610669,2013-09-16,"2013-10-25"
"Cell 44 2013",663131,5610669,2013-10-25,"2013-11-29"
"Cell 44 2013",663131,5610669,2013-11-29,"2014-05-19"
"Cell 59 2013",666409,5566972,2013-04-19,"2013-05-14"
"Cell 59 2013",666409,5566972,2013-05-14,"2013-06-16"
"Cell 59 2013",666409,5566972,2013-06-16,"2013-07-03"
"Cell 59 2013",666409,5566972,2013-07-03,"2013-08-13"
"Cell 59 2013",666409,5566972,2013-08-13,"2013-09-13"
"Cell 59 2013",666409,5566972,2013-09-13,"2013-10-31"
"Cell 6 2011/12",632350,5638385,2012-06-13,"2012-06-15"
"Cell 6 2011/12",632350,5638385,2012-08-20,"2012-09-19"
"Cell 6 2011/12",632350,5638385,2012-07-20,"2012-08-20"
"Cell 6 2011/12",632350,5638385,2012-11-23,"2013-01-03"
"Cell 6 2011/12",632350,5638385,2011-12-23,"2012-01-23"
"Cell 6 2011/12",632350,5638385,2012-02-23,"2012-03-27"
"Cell 6 2011/12",632350,5638385,2012-01-23,"2012-02-23"
"Cell 6 2011/12",632350,5638385,2012-11-23,"2013-01-03"
"Cell 6 2011/12",632350,5638385,2012-10-24,"2012-11-23"
"Cell 6 2011/12",632350,5638385,2012-04-26,"2012-06-13"
"Cell 6 2011/12",632350,5638385,2012-03-27,"2012-04-26"
"Cell 6 NE 2011/12",632304,5643453,2012-08-15,"2012-09-19"
"Cell 6 NE 2011/12",632304,5643453,2012-11-19,"2013-01-06"
"Cell 6 NE 2011/12",632304,5643453,2012-11-19,"2013-01-07"
"Cell 6 NE 2011/12",632304,5643453,2012-11-19,"2013-01-01"
"Cell 6 NE 2011/12",632304,5643453,2012-10-19,"2012-11-19"
"Cell 6 NE 2011/12",632304,5643453,2012-09-19,"2012-10-19"
"Cell 6 NE 2011/12",632304,5643453,2012-11-19,"2013-01-01"
"Cell 6 NE 2011/12",632304,5643453,2012-11-19,"2013-01-06"
"Cell 6 NE 2011/12",632304,5643453,2012-11-19,"2013-01-07"
"Cell 6 NE 2011/12",632304,5643453,2012-07-04,"2012-08-04"
"Cell 6 SW 2011/12",627968,5635995,2012-07-10,"2012-07-26"
"Cell 6 SW 2011/12",627968,5635995,2012-08-13,"2012-09-19"
"Cell 6 SW 2011/12",627968,5635995,2012-09-19,"2012-10-24"
"Cell 6 SW 2011/12",627968,5635995,2012-11-23,"2013-01-07"
"Cell 6 SW 2011/12",627968,5635995,2012-11-23,"2013-01-07"
"Cell 6 SW 2011/12",627968,5635995,2012-10-24,"2012-11-23"
"Cell 60 2013",671854,5565034,2013-04-10,"2013-05-14"
"Cell 60 2013",671854,5565034,2013-05-14,"2013-06-16"
"Cell 60 2013",671854,5565034,2013-06-16,"2013-08-13"
"Cell 60 2013",671854,5565034,2013-08-13,"2013-09-13"
"Cell 60 2013",671854,5565034,2013-09-13,"2013-10-31"
"Cell 60 2013",671854,5565034,2013-10-31,"2013-11-30"
"Cell 60 2013",671854,5565034,2013-11-30,"2014-05-28"
"Cell 61 2013",684569,5565701,2013-04-10,"2013-05-14"
"Cell 61 2013",684569,5565701,2013-05-14,"2013-06-16"
"Cell 61 2013",684569,5565701,2013-06-16,"2013-08-13"
"Cell 61 2013",684569,5565701,2013-08-13,"2013-09-13"
"Cell 61 2013",684569,5565701,2013-09-13,"2013-10-25"
"Cell 61 2013",684569,5565701,2013-10-25,"2013-11-30"
"Cell 9 SE 2013",618196,5642751,2012-10-11,"2012-11-13"
"Cell 9 SE 2013",618196,5642751,2012-11-13,"2012-12-10"
"Cell 9 SE 2013",618196,5642751,2012-09-14,"2012-10-11"
"Cell 9 SE 2013",618196,5642751,2013-03-18,"2013-04-11"
"Cell 9 SE 2013",618196,5642751,2013-04-11,"2013-05-02"
"Cell 9 SE 2013",618196,5642751,2013-05-02,"2013-06-13"
"Cell 9 SE 2013",618196,5642751,2013-06-13,"2013-07-17"
"Cell 9 SE 2013",618196,5642751,2013-07-17,"2013-08-13"
"Cell 9 SE 2013",618196,5642751,2013-08-13,"2013-09-17"
"Cell 9 SE 2013",618196,5642751,2013-09-17,"2013-10-11"
"Cell 9 SE 2013",618196,5642751,2013-10-11,"2013-11-14"
"Cell 9 SE 2013",618196,5642751,2013-12-04,"2014-01-09"
"Cell 9 SE 2013",618196,5642751,2014-01-09,"2014-02-11"
"Cell 9 SE 2013",618196,5642751,2014-02-11,"2014-03-13"
"Cell 9 SE 2013",618196,5642751,2014-03-13,"2014-04-09"
"Cell 9 SE 2013",618196,5642751,2014-04-09,"2014-05-13"
"Cell 9 SE 2013",618196,5642751,2012-07-04,"2012-09-14"
