CAMERA,RADIUS,NCELLS,AREA,MIN,MAX,RANGE,MEAN,STD
11SE,4750,1331,71454588.59,1059,9388,8329,5772.885049,2227.728739
17NW,4750,1331,71454588.59,258,9971,9713,6400.896319,2223.454233
17SE,4750,1330,71400903.7,-573,9509,10082,6431.902256,2047.94062
17SW,4750,1327,71239849.03,-1894,9795,11689,5069.073097,2706.125372
22S,4750,1331,71454588.59,-1894,9795,11689,4583.461307,2755.869592
23S,4750,1333,71561958.37,1090,9773,8683,3717.741185,2082.713091
24S,4750,1331,71454588.59,1032,8860,7828,6951.862509,1779.593722
27A,4750,1330,71400903.7,1284,9694,8410,6788.817293,1914.994603
2A,4750,1327,71239849.03,1571,8837,7266,6287.467219,1729.119102
5NE,4750,1328,71293533.92,-1842,9827,11669,4597.216114,2424.270917
5NW,4750,1334,71615643.26,-1875,9827,11702,5362.934033,2463.148878
5SE,4750,1329,71347218.81,234,9784,9550,3820.578631,2451.348201
6NE,4750,1330,71400903.7,1697,9110,7413,6988.245865,1506.263727
6NW,4750,1331,71454588.59,851,9386,8535,6057.568745,2411.335183
6SW,4750,1329,71347218.81,1204,9784,8580,6541.277652,2119.550128
Cell 1 2011/12,4750,1332,71508273.48,1187,8730,7543,7253.373874,1358.657883
Cell 1 SW 2013,4750,1325,71132479.25,-1970,9374,11344,5173.154717,2237.648123
Cell 10 2011/12,4750,1331,71454588.59,448,9915,9467,6014.03456,2433.499414
Cell 10 NE 2011/12,4750,1329,71347218.81,312,9581,9269,5747.874342,2612.456658
Cell 10 NW 2011/12,4750,1331,71454588.59,513,9522,9009,6302.851991,2406.974781
Cell 10 SE 2013,4750,1331,71454588.59,851,9386,8535,6057.568745,2411.335183
Cell 10 SW 2011/12,4750,1329,71347218.81,-779,9915,10694,5330.776524,2616.659233
Cell 10-A 2011/12,4750,1329,71347218.81,206,9915,9709,5834.259594,2445.8808
Cell 11 NE 2011/12,4750,1332,71508273.48,-195,9328,9523,6533.655405,1950.714712
Cell 11 NW 2013,4750,1326,71186164.14,1571,8837,7266,6325.564103,1688.628975
Cell 11 SW 2013,4750,1330,71400903.7,1530,9386,7856,6971.881955,1714.174989
Cell 12 2013,4750,1333,71561958.37,1476,9773,8297,6790.625656,1629.723051
Cell 13 2013,4750,1331,71454588.59,1423,8838,7415,6715.850488,1491.657061
Cell 14 2013,4750,1329,71347218.81,6613,8733,2120,8054.457487,352.1667916
Cell 15 2013,4750,1333,71561958.37,5348,8876,3528,7934.683421,487.7034232
Cell 15-A 2013,4750,1331,71454588.59,5452,8876,3424,7934.791886,441.5719541
Cell 16 2013,4750,1334,71615643.26,5452,8848,3396,7992.497001,411.4476377
Cell 17 NW 2011/12,4750,1331,71454588.59,258,9971,9713,6400.896319,2223.454233
Cell 17 NW 2013,4750,1331,71454588.59,-1875,9827,11702,5873.842224,2291.774533
Cell 17 SE 2013,4750,1331,71454588.59,513,9522,9009,6302.851991,2406.974781
Cell 17 SW 2013,4750,1327,71239849.03,-1875,8967,10842,6501.787491,2057.754833
Cell 18 2011/12,4750,1333,71561958.37,854,9982,9128,4452.170293,2690.227982
Cell 18 NE 2013,4750,1327,71239849.03,1204,9386,8182,6547.935192,2118.350354
Cell 18 NW 2013,4750,1330,71400903.7,527,9784,9257,3805.832331,2422.956801
Cell 18 SE 2013,4750,1332,71508273.48,-195,9328,9523,6533.655405,1950.714712
Cell 18 SSE 2013,4750,1330,71400903.7,-195,9388,9583,5452.665414,2529.13084
Cell 19 NW 2013,4750,1329,71347218.81,1421,9386,7965,7000.906697,1675.291682
Cell 2 2011/12,4750,1334,71615643.26,1607,8837,7230,6278.618441,1639.782096
Cell 2 NE 2013,4750,1330,71400903.7,-2000,8957,10957,6329.418045,1784.657213
Cell 2 SW 2013,4750,1332,71508273.48,1187,8730,7543,7254.273273,1358.684479
Cell 20 2013,4750,1328,71293533.92,1465,9773,8308,6933.341114,1676.136335
Cell 21 2013,4750,1330,71400903.7,2159,8808,6649,7152.117293,1032.616158
Cell 22 2013,4750,1330,71400903.7,6717,8751,2034,7858.757895,299.8080314
Cell 23 2013,4750,1332,71508273.48,6899,8915,2016,8159.056306,361.746405
Cell 24 2013,4750,1330,71400903.7,6616,8848,2232,8061.158647,367.5064968
Cell 25 NE 2013,4750,1331,71454588.59,448,9915,9467,6014.03456,2433.499414
Cell 25 SE 2013,4750,1328,71293533.92,-779,9915,10694,5329.02259,2616.863192
Cell 26 NE 2013,4750,1327,71239849.03,108,9388,9280,5294.000754,2405.723966
Cell 26 NNW 2013,4750,1330,71400903.7,192,9581,9389,5743.696992,2615.910862
Cell 26 NW 2013,4750,1328,71293533.92,206,9915,9709,5832.571536,2446.027519
Cell 27 NW 2013,4750,1331,71454588.59,1059,9388,8329,5772.885049,2227.728739
