CAMERA,RADIUS,NCELLS,AREA,MIN,MAX,RANGE,MEAN,STD
Cell 23 2013,4500,635190,63519000,0,15.16029358,15.16029358,1.636959042,0.992478986
Cell 24 2013,4500,635152,63515200,0,8.492736816,8.492736816,1.04800438,0.656733789
Cell 25 NE 2013,4500,635433,63543300,0,25.23522949,25.23522949,3.783797638,2.784664212
Cell 25 SE 2013,4500,635445,63544500,0,41.14385986,41.14385986,4.243207852,3.004708304
Cell 26 NE 2013,4500,635398,63539800,0,47.97770691,47.97770691,4.461960213,2.851886347
Cell 26 NNW 2013,4500,635430,63543000,0,24.51837158,24.51837158,3.88731467,2.682934367
Cell 26 NW 2013,4500,635433,63543300,0,42.80111694,42.80111694,4.020512634,2.815396388
Cell 27 NW 2013,4500,635390,63539000,0,47.97770691,47.97770691,4.512399038,2.738753512
Cell 28 2013,4500,635319,63531900,0,58.74359131,58.74359131,4.942184995,2.751862958
Cell 29 2013,4500,635285,63528500,0,27.36763,27.36763,2.707837011,1.799671605
Cell 3 NE 2013,4500,635365,63536500,0,25.76072693,25.76072693,2.061236396,1.891750835
Cell 3 NW 2013,4500,635388,63538800,0,27.57203674,27.57203674,3.12950366,2.752230192
Cell 30 2013,4500,635204,63520400,0.003860474,35.90357971,35.89971924,2.119460738,1.221316911
Cell 31 2013,4500,635196,63519600,0.000167847,14.65290833,14.65274048,1.395136611,0.901033668
